file,sha256,perceptual_hash,crop,condition,source_dataset,source_url,license,original_filename,environment,split
Tomato___Bacterial_spot/Tomato___Bacterial_spot_scale_0012.jpg,b042e1083d18518af12df4cfce48bacbd705d95bd93d3ab81d72ac79797fd118,0000000001111110011111100111111001111110011111100111111000000000,Tomato,Bacterial Spot,PlantVillage/Zenodo,https://doi.org/10.5281/zenodo.5562723,CC BY-SA 4.0,Tomato___Bacterial_spot_raw_0012.jpg,field,train
Tomato___Bacterial_spot/Tomato___Bacterial_spot_scale_0013.jpg,8e3e566f7f0869cb1536c13c8b3ba5a503aec7b2243e6692c186028f43454e93,0000000001111110011111100111111001111110011111100111111000000000,Tomato,Bacterial Spot,PlantVillage/Zenodo,https://doi.org/10.5281/zenodo.5562723,CC BY-SA 4.0,Tomato___Bacterial_spot_raw_0013.jpg,field,train
Tomato___Bacterial_spot/Tomato___Bacterial_spot_scale_0014.jpg,f3f092b6ac1e64077b572503c4bf63a824d074784b9b79348ad81aeb6bdfee3b,0000000001111110011111100111111001111110011111100111111000000000,Tomato,Bacterial Spot,PlantVillage/Zenodo,https://doi.org/10.5281/zenodo.5562723,CC BY-SA 4.0,Tomato___Bacterial_spot_raw_0014.jpg,field,train
Tomato___Bacterial_spot/Tomato___Bacterial_spot_scale_0015.jpg,5d5b1e5b87c2b15d8a9831316243df4197185f23b90e4fc442bc19a479a195b9,0000000001111110011111100111111001111110011111100111111000000000,Tomato,Bacterial Spot,PlantVillage/Zenodo,https://doi.org/10.5281/zenodo.5562723,CC BY-SA 4.0,Tomato___Bacterial_spot_raw_0015.jpg,field,train
Tomato___Bacterial_spot/Tomato___Bacterial_spot_scale_0016.jpg,602f8b99e1c573f19304853a2acf51b97a29b362396e8a529275741bb2941fb2,0000000001111110011111100111111001111110011111100111111000000000,Tomato,Bacterial Spot,PlantVillage/Zenodo,https://doi.org/10.5281/zenodo.5562723,CC BY-SA 4.0,Tomato___Bacterial_spot_raw_0016.jpg,field,train
Tomato___Bacterial_spot/Tomato___Bacterial_spot_scale_0017.jpg,19abf3fb206860b65de4d0bb8da666995e0de56af48827cdcbe6dbf98e45cc5a,0000000001111110011111100111111001111110011111100111111000000000,Tomato,Bacterial Spot,PlantVillage/Zenodo,https://doi.org/10.5281/zenodo.5562723,CC BY-SA 4.0,Tomato___Bacterial_spot_raw_0017.jpg,field,train
Tomato___Bacterial_spot/Tomato___Bacterial_spot_scale_0018.jpg,1afb26f0c927386c7c9db9c9d332759ab5decded35ea46f8db3d4dcdbc96f29b,0000000001111110011111100111111001111110011111100111111000000000,Tomato,Bacterial Spot,PlantVillage/Zenodo,https://doi.org/10.5281/zenodo.5562723,CC BY-SA 4.0,Tomato___Bacterial_spot_raw_0018.jpg,field,train
Tomato___Bacterial_spot/Tomato___Bacterial_spot_scale_0019.jpg,2b4a86adc5eb7036b4d60b1d050c0c70bdcf85b6333d6a7e4240efa779f106c5,0000000001111110011111100111111001111110011111100111111000000000,Tomato,Bacterial Spot,PlantVillage/Zenodo,https://doi.org/10.5281/zenodo.5562723,CC BY-SA 4.0,Tomato___Bacterial_spot_raw_0019.jpg,field,train
Tomato___Bacterial_spot/Tomato___Bacterial_spot_scale_0020.jpg,31bab9970fc54fb48886ab643c75c514f7e5284928986424875e525d21a11d66,0000000001111110011111100111111001111110011111100111111000000000,Tomato,Bacterial Spot,PlantVillage/Zenodo,https://doi.org/10.5281/zenodo.5562723,CC BY-SA 4.0,Tomato___Bacterial_spot_raw_0020.jpg,field,train
Tomato___Bacterial_spot/Tomato___Bacterial_spot_scale_0021.jpg,d544695e68ea497dd630ff5ae8149a9f981ccbc21cbc855847908f26e311c701,0000000001111110011111100111111001111110011111100111111000000000,Tomato,Bacterial Spot,PlantVillage/Zenodo,https://doi.org/10.5281/zenodo.5562723,CC BY-SA 4.0,Tomato___Bacterial_spot_raw_0021.jpg,field,train
Tomato___Bacterial_spot/Tomato___Bacterial_spot_scale_0022.jpg,3934d9bb62c1135aa1787b0864f7cb38be11d3729b3929dc69ebcb8ee25068f4,0000000001111110011111100111111001111110011111100111111000000000,Tomato,Bacterial Spot,PlantVillage/Zenodo,https://doi.org/10.5281/zenodo.5562723,CC BY-SA 4.0,Tomato___Bacterial_spot_raw_0022.jpg,field,train
Tomato___Bacterial_spot/Tomato___Bacterial_spot_scale_0023.jpg,a68d3862eda9b9863bae1841fdd724352c8026a2483922e54b5b986db7711b76,0000000001111110011111100111111001111110011111100111111000000000,Tomato,Bacterial Spot,PlantVillage/Zenodo,https://doi.org/10.5281/zenodo.5562723,CC BY-SA 4.0,Tomato___Bacterial_spot_raw_0023.jpg,field,train
Tomato___Bacterial_spot/Tomato___Bacterial_spot_scale_0024.jpg,4fc49ba21a700baa62673a11fd064f28fcd548400801208a3c9eabe2ab601902,0000000001111110011111100111111001111110011111100111111000000000,Tomato,Bacterial Spot,PlantVillage/Zenodo,https://doi.org/10.5281/zenodo.5562723,CC BY-SA 4.0,Tomato___Bacterial_spot_raw_0024.jpg,field,train
Tomato___Bacterial_spot/Tomato___Bacterial_spot_scale_0025.jpg,2a4c944f62f57a893fe032081b6a709707d3e68bb28136f5579b1d0a11e87378,0000000001111110011111100111111001111110011111100111111000000000,Tomato,Bacterial Spot,PlantVillage/Zenodo,https://doi.org/10.5281/zenodo.5562723,CC BY-SA 4.0,Tomato___Bacterial_spot_raw_0025.jpg,field,train
Tomato___Bacterial_spot/Tomato___Bacterial_spot_scale_0026.jpg,1df1d69493788eab0691c44487081bed1715238707fef54ae0c83c0e2b22af41,0000000001111110011111100111111001111110011111100111111000000000,Tomato,Bacterial Spot,PlantVillage/Zenodo,https://doi.org/10.5281/zenodo.5562723,CC BY-SA 4.0,Tomato___Bacterial_spot_raw_0026.jpg,field,train
Tomato___Bacterial_spot/Tomato___Bacterial_spot_scale_0027.jpg,475fed77b1f5793eef68d96eab4b910238f81326fc3fcaad81cf825f912db42b,0000000001111110011111100111111001111110011111100111111000000000,Tomato,Bacterial Spot,PlantVillage/Zenodo,https://doi.org/10.5281/zenodo.5562723,CC BY-SA 4.0,Tomato___Bacterial_spot_raw_0027.jpg,field,train
Tomato___Bacterial_spot/Tomato___Bacterial_spot_scale_0028.jpg,a4cd15967484f56bb4fe955fca4d89d943cae9b89e67c162dcc4bc1da9ef7fa2,0000000001111110011111100111111001111110011111100111111000000000,Tomato,Bacterial Spot,PlantVillage/Zenodo,https://doi.org/10.5281/zenodo.5562723,CC BY-SA 4.0,Tomato___Bacterial_spot_raw_0028.jpg,field,train
Tomato___Bacterial_spot/Tomato___Bacterial_spot_scale_0029.jpg,9a9f3348f26fb3dbd51b86113c646ecb8d88e292fdc032e89a983265f3814fc5,0000000001111110011111100111111001111110011111100111111000000000,Tomato,Bacterial Spot,PlantVillage/Zenodo,https://doi.org/10.5281/zenodo.5562723,CC BY-SA 4.0,Tomato___Bacterial_spot_raw_0029.jpg,field,train
Tomato___Bacterial_spot/Tomato___Bacterial_spot_scale_0030.jpg,d5bb9fad0f95702607c8ef7a2dc5a640b07918ec1f5f394c9652bc10b632d019,0000000001111110011111100111111001111110011111100111111000000000,Tomato,Bacterial Spot,PlantVillage/Zenodo,https://doi.org/10.5281/zenodo.5562723,CC BY-SA 4.0,Tomato___Bacterial_spot_raw_0030.jpg,field,train
Tomato___Bacterial_spot/Tomato___Bacterial_spot_scale_0031.jpg,3ed7e3964253e1f1267b77a0dfab147b82db32107ec339d1829bf6f1104dfe2d,0000000001111110011111100111111001111110011111100111111000000000,Tomato,Bacterial Spot,PlantVillage/Zenodo,https://doi.org/10.5281/zenodo.5562723,CC BY-SA 4.0,Tomato___Bacterial_spot_raw_0031.jpg,field,train
Tomato___Bacterial_spot/Tomato___Bacterial_spot_scale_0032.jpg,2a84ab537fba7d1ba562e289814ec3cb0aa9fb75f433945e259ccb2fc969cbcb,0000000001111110011111100111111001111110011111100111111000000000,Tomato,Bacterial Spot,PlantVillage/Zenodo,https://doi.org/10.5281/zenodo.5562723,CC BY-SA 4.0,Tomato___Bacterial_spot_raw_0032.jpg,field,train
Tomato___Bacterial_spot/Tomato___Bacterial_spot_scale_0033.jpg,1b67f9bca9021351ffc59209d47ee0128187cbac6ee4bc51009dd943828ef5d3,0000000001111110011111100111111001111110011111100111111000000000,Tomato,Bacterial Spot,PlantVillage/Zenodo,https://doi.org/10.5281/zenodo.5562723,CC BY-SA 4.0,Tomato___Bacterial_spot_raw_0033.jpg,field,train
Tomato___Bacterial_spot/Tomato___Bacterial_spot_scale_0034.jpg,dc49679e6fb148b29586d7162b063498ce41edd1fb1d408135b289529db9780c,0000000001111110011111100111111001111110011111100111111000000000,Tomato,Bacterial Spot,PlantVillage/Zenodo,https://doi.org/10.5281/zenodo.5562723,CC BY-SA 4.0,Tomato___Bacterial_spot_raw_0034.jpg,field,train
Tomato___Bacterial_spot/Tomato___Bacterial_spot_scale_0035.jpg,01f907972706091b7a5aae94fbf9b81a952cf720f0ceff9d89311624a67efff9,0000000001111110011111100111111001111110011111100111111000000000,Tomato,Bacterial Spot,PlantVillage/Zenodo,https://doi.org/10.5281/zenodo.5562723,CC BY-SA 4.0,Tomato___Bacterial_spot_raw_0035.jpg,field,train
Tomato___Bacterial_spot/Tomato___Bacterial_spot_scale_0036.jpg,dcf39f7ad3019711e3ce7c24de3a4df94be27bc877a7396b9af3007aca4310ec,0000000001111110011111100111111001111110011111100111111000000000,Tomato,Bacterial Spot,PlantVillage/Zenodo,https://doi.org/10.5281/zenodo.5562723,CC BY-SA 4.0,Tomato___Bacterial_spot_raw_0036.jpg,field,train
Tomato___Bacterial_spot/Tomato___Bacterial_spot_scale_0037.jpg,48b4e2b18acb465e3eac0ea35698bc90bd04c3e231845abe4799095e43793903,0000000001111110011111100111111001111110011111100111111000000000,Tomato,Bacterial Spot,PlantVillage/Zenodo,https://doi.org/10.5281/zenodo.5562723,CC BY-SA 4.0,Tomato___Bacterial_spot_raw_0037.jpg,field,train
Tomato___Bacterial_spot/Tomato___Bacterial_spot_scale_0038.jpg,8afa905855def923144ddac2fd591e29089480805968b7451cd3761a19a87511,0000000001111110011111100111111001111110011111100111111000000000,Tomato,Bacterial Spot,PlantVillage/Zenodo,https://doi.org/10.5281/zenodo.5562723,CC BY-SA 4.0,Tomato___Bacterial_spot_raw_0038.jpg,field,train
Tomato___Bacterial_spot/Tomato___Bacterial_spot_scale_0039.jpg,1e1690b9d99d8c9257c5ba40e9cdf654adfedf82c0cfadef447ab2b27d4c0b8b,0000000001111110011111100111111001111110011111100111111000000000,Tomato,Bacterial Spot,PlantVillage/Zenodo,https://doi.org/10.5281/zenodo.5562723,CC BY-SA 4.0,Tomato___Bacterial_spot_raw_0039.jpg,field,train
Tomato___Bacterial_spot/Tomato___Bacterial_spot_scale_0040.jpg,0eeada4c105377dd73eb369127c4f80504a1471d5d0e6e09fe978ed42f320075,0000000001111110011111100111111001111110011111100111111000000000,Tomato,Bacterial Spot,PlantVillage/Zenodo,https://doi.org/10.5281/zenodo.5562723,CC BY-SA 4.0,Tomato___Bacterial_spot_raw_0040.jpg,field,train
Tomato___Bacterial_spot/Tomato___Bacterial_spot_scale_0041.jpg,5e846d32ee000c88c45d472bd3b7e69024624b953f25279bb59f3667bdff8a4c,0000000001111110011111100111111001111110011111100111111000000000,Tomato,Bacterial Spot,PlantVillage/Zenodo,https://doi.org/10.5281/zenodo.5562723,CC BY-SA 4.0,Tomato___Bacterial_spot_raw_0041.jpg,field,train
Tomato___Bacterial_spot/Tomato___Bacterial_spot_scale_0042.jpg,d489b0818f987f064c7ba5f2f8c4139dd78503265ee8c5d74b39e756ef408f28,0000000001111110011111100111111001111110011111100111111000000000,Tomato,Bacterial Spot,PlantVillage/Zenodo,https://doi.org/10.5281/zenodo.5562723,CC BY-SA 4.0,Tomato___Bacterial_spot_raw_0042.jpg,field,train
Tomato___Bacterial_spot/Tomato___Bacterial_spot_scale_0043.jpg,62d43b44d82fd0941fb71abe1b45dda2ee222191bba440beb35ac907cc4296ef,0000000001111110011111100111111001111110011111100111111000000000,Tomato,Bacterial Spot,PlantVillage/Zenodo,https://doi.org/10.5281/zenodo.5562723,CC BY-SA 4.0,Tomato___Bacterial_spot_raw_0043.jpg,field,train
Tomato___Bacterial_spot/Tomato___Bacterial_spot_scale_0044.jpg,d20d6beea00bfbd91240a5aa24683ec185708219f75e8ce1cc8e653fc0e5eb5a,0000000001111110011111100111111001111110011111100111111000000000,Tomato,Bacterial Spot,PlantVillage/Zenodo,https://doi.org/10.5281/zenodo.5562723,CC BY-SA 4.0,Tomato___Bacterial_spot_raw_0044.jpg,field,train
Tomato___Bacterial_spot/Tomato___Bacterial_spot_scale_0045.jpg,b77c23a95c06f8accf29559aa408d1fb8ce18dd0fa8094791f32437bf6b01ead,0000000001111110011111100111111001111110011111100111111000000000,Tomato,Bacterial Spot,PlantVillage/Zenodo,https://doi.org/10.5281/zenodo.5562723,CC BY-SA 4.0,Tomato___Bacterial_spot_raw_0045.jpg,field,train
Tomato___Bacterial_spot/Tomato___Bacterial_spot_scale_0046.jpg,6f0dba94ceaf6648d4b8591bce96a46d5401e5228c9b9e1cdd0dfeb5ea67dc15,0000000001111110011111100111111001111110011111100111111000000000,Tomato,Bacterial Spot,PlantVillage/Zenodo,https://doi.org/10.5281/zenodo.5562723,CC BY-SA 4.0,Tomato___Bacterial_spot_raw_0046.jpg,field,train
Tomato___Bacterial_spot/Tomato___Bacterial_spot_scale_0047.jpg,f6cf12981f7fe497e4f2824586d3983f3471fc5e909f8b899ed0b20a2489f60a,0000000001111110011111100111111001111110011111100111111000000000,Tomato,Bacterial Spot,PlantVillage/Zenodo,https://doi.org/10.5281/zenodo.5562723,CC BY-SA 4.0,Tomato___Bacterial_spot_raw_0047.jpg,field,train
Tomato___Bacterial_spot/Tomato___Bacterial_spot_scale_0048.jpg,5324df7b1d21fd3183cbffd722d5bbaeb78f59550bb6c7a78046693d793899a4,0000000001111110011111100111111001111110011111100111111000000000,Tomato,Bacterial Spot,PlantVillage/Zenodo,https://doi.org/10.5281/zenodo.5562723,CC BY-SA 4.0,Tomato___Bacterial_spot_raw_0048.jpg,field,train
Tomato___Bacterial_spot/Tomato___Bacterial_spot_scale_0049.jpg,d627e7a3f4290204a643d487cb38d4c192df1d2c672f75dc509db3cd76442f3b,0000000001111110011111100111111001111110011111100111111000000000,Tomato,Bacterial Spot,PlantVillage/Zenodo,https://doi.org/10.5281/zenodo.5562723,CC BY-SA 4.0,Tomato___Bacterial_spot_raw_0049.jpg,field,train
Tomato___Bacterial_spot/Tomato___Bacterial_spot_scale_0050.jpg,b8a70c8a1c7d1fcf18fe9ab7005321998ea2150f5d638f5e1380fac4726ccbe3,0000000001111110011111100111111001111110011111100111111000000000,Tomato,Bacterial Spot,PlantVillage/Zenodo,https://doi.org/10.5281/zenodo.5562723,CC BY-SA 4.0,Tomato___Bacterial_spot_raw_0050.jpg,field,train
Tomato___Bacterial_spot/Tomato___Bacterial_spot_scale_0051.jpg,7c7b220c635ffe112d3d04cdb6937c1b85dd4cf6a46a2edad4aefecd65b9d6d1,0000000001111110011111100111111001111110011111100111111000000000,Tomato,Bacterial Spot,PlantVillage/Zenodo,https://doi.org/10.5281/zenodo.5562723,CC BY-SA 4.0,Tomato___Bacterial_spot_raw_0051.jpg,field,train
Tomato___Bacterial_spot/Tomato___Bacterial_spot_scale_0052.jpg,2cf96b25327efd8dff559eaf858ba8ea6ec9c7741d89fa3788194da4eeaa6abc,0000000001111110011111100111111001111110011111100111111000000000,Tomato,Bacterial Spot,PlantVillage/Zenodo,https://doi.org/10.5281/zenodo.5562723,CC BY-SA 4.0,Tomato___Bacterial_spot_raw_0052.jpg,field,train
Tomato___Bacterial_spot/Tomato___Bacterial_spot_scale_0053.jpg,91d128dcb48ce792c29998b285e9d2399074c21420e9cf69ae347fcc31957f92,0000000001111110011111100111111001111110011111100111111000000000,Tomato,Bacterial Spot,PlantVillage/Zenodo,https://doi.org/10.5281/zenodo.5562723,CC BY-SA 4.0,Tomato___Bacterial_spot_raw_0053.jpg,field,train
Tomato___Bacterial_spot/Tomato___Bacterial_spot_scale_0054.jpg,d01a8c5df84086b32283bae7d4e306953b6f62d1e2ca8cc0b13859c772f82cef,0000000001111110011111100111111001111110011111100111111000000000,Tomato,Bacterial Spot,PlantVillage/Zenodo,https://doi.org/10.5281/zenodo.5562723,CC BY-SA 4.0,Tomato___Bacterial_spot_raw_0054.jpg,field,train
Tomato___Bacterial_spot/Tomato___Bacterial_spot_scale_0055.jpg,dcb7db367e529b551f6c484b663bcd4211dec49eaabf213cce6f3507ccdf843f,0000000001111110011111100111111001111110011111100111111000000000,Tomato,Bacterial Spot,PlantVillage/Zenodo,https://doi.org/10.5281/zenodo.5562723,CC BY-SA 4.0,Tomato___Bacterial_spot_raw_0055.jpg,field,train
Tomato___Bacterial_spot/Tomato___Bacterial_spot_scale_0056.jpg,162d38c9276ccfeaa7e411867589fd43a6ba0cc2e6d2d8a774a6d51bd64b140e,0000000001111110011111100111111001111110011111100111111000000000,Tomato,Bacterial Spot,PlantVillage/Zenodo,https://doi.org/10.5281/zenodo.5562723,CC BY-SA 4.0,Tomato___Bacterial_spot_raw_0056.jpg,field,train
Tomato___Bacterial_spot/Tomato___Bacterial_spot_scale_0057.jpg,e3ddd765d479debb73872d999642cf5025b452209b6de8283cd542e42ae728f0,0000000001111110011111100111111001111110011111100111111000000000,Tomato,Bacterial Spot,PlantVillage/Zenodo,https://doi.org/10.5281/zenodo.5562723,CC BY-SA 4.0,Tomato___Bacterial_spot_raw_0057.jpg,field,train
Tomato___Bacterial_spot/Tomato___Bacterial_spot_scale_0058.jpg,561a1d9ff474e73e4e867724d5f7b34a90d335f65886142fca16641f96c0f998,0000000001111110011111100111111001111110011111100111111000000000,Tomato,Bacterial Spot,PlantVillage/Zenodo,https://doi.org/10.5281/zenodo.5562723,CC BY-SA 4.0,Tomato___Bacterial_spot_raw_0058.jpg,field,train
Tomato___Bacterial_spot/Tomato___Bacterial_spot_scale_0059.jpg,726f15474bfb9497743a352150869655af934b968414092b0753d77df4aaaeb2,0000000001111110011111100111111001111110011111100111111000000000,Tomato,Bacterial Spot,PlantVillage/Zenodo,https://doi.org/10.5281/zenodo.5562723,CC BY-SA 4.0,Tomato___Bacterial_spot_raw_0059.jpg,field,train
Tomato___Bacterial_spot/Tomato___Bacterial_spot_scale_0060.jpg,baebf5e6a326b1bed7df68ce4d882033ed31bda216eda052445fc9c24d74478a,0000000001111110011111100111111001111110011111100111111000000000,Tomato,Bacterial Spot,PlantVillage/Zenodo,https://doi.org/10.5281/zenodo.5562723,CC BY-SA 4.0,Tomato___Bacterial_spot_raw_0060.jpg,field,train
Tomato___Bacterial_spot/Tomato___Bacterial_spot_scale_0061.jpg,3c0a57f9ac00dbfb00e728a43577e68735a7d788d196ce442ab785675f28b1b2,0000000001111110011111100111111001111110011111100111111000000000,Tomato,Bacterial Spot,PlantVillage/Zenodo,https://doi.org/10.5281/zenodo.5562723,CC BY-SA 4.0,Tomato___Bacterial_spot_raw_0061.jpg,field,train
Tomato___Bacterial_spot/Tomato___Bacterial_spot_scale_0062.jpg,27b6032feff405eb5ae9d9b8c4fc8260f21f7fdaafb3dcf9b2b40207625dae2a,0000000001111110011111100111111001111110011111100111111000000000,Tomato,Bacterial Spot,PlantVillage/Zenodo,https://doi.org/10.5281/zenodo.5562723,CC BY-SA 4.0,Tomato___Bacterial_spot_raw_0062.jpg,field,train
Tomato___Bacterial_spot/Tomato___Bacterial_spot_scale_0063.jpg,136acb5499917c45487810d67cba379a86536b3b910a12c5c32c4c9c0fba1e3c,0000000001111110011111100111111001111110011111100111111000000000,Tomato,Bacterial Spot,PlantVillage/Zenodo,https://doi.org/10.5281/zenodo.5562723,CC BY-SA 4.0,Tomato___Bacterial_spot_raw_0063.jpg,field,train
Tomato___Bacterial_spot/Tomato___Bacterial_spot_scale_0064.jpg,2473a6e985d0c249a3b35ecc0e74997881f1db8e781876dd6c3d4021ce2e08c4,0000000001111110011111100111111001111110011111100111111000000000,Tomato,Bacterial Spot,PlantVillage/Zenodo,https://doi.org/10.5281/zenodo.5562723,CC BY-SA 4.0,Tomato___Bacterial_spot_raw_0064.jpg,field,train
Tomato___Bacterial_spot/Tomato___Bacterial_spot_scale_0065.jpg,4f6e1b40ba2cb61a6d46590400ee136e249c674511de4071d58f9cff76734de9,0000000001111110011111100111111001111110011111100111111000000000,Tomato,Bacterial Spot,PlantVillage/Zenodo,https://doi.org/10.5281/zenodo.5562723,CC BY-SA 4.0,Tomato___Bacterial_spot_raw_0065.jpg,field,train
Tomato___Bacterial_spot/Tomato___Bacterial_spot_scale_0066.jpg,4d74e874e773d3c002f5d279af670af02e77ce003d43aac8b66ef2d6673f97d0,0000000001111110011111100111111001111110011111100111111000000000,Tomato,Bacterial Spot,PlantVillage/Zenodo,https://doi.org/10.5281/zenodo.5562723,CC BY-SA 4.0,Tomato___Bacterial_spot_raw_0066.jpg,field,train
Tomato___Bacterial_spot/Tomato___Bacterial_spot_scale_0067.jpg,b6a1add0b6907e03f30f32406d4ba0bde0bd3be3ae636cba386dc0601c1f66a2,0000000001111110011111100111111001111110011111100111111000000000,Tomato,Bacterial Spot,PlantVillage/Zenodo,https://doi.org/10.5281/zenodo.5562723,CC BY-SA 4.0,Tomato___Bacterial_spot_raw_0067.jpg,field,train
Tomato___Bacterial_spot/Tomato___Bacterial_spot_scale_0068.jpg,ed3058e6c2542f948e952cbfc6ef6f45c400d29c749b430fc386797123be810c,0000000001111110011111100111111001111110011111100111111000000000,Tomato,Bacterial Spot,PlantVillage/Zenodo,https://doi.org/10.5281/zenodo.5562723,CC BY-SA 4.0,Tomato___Bacterial_spot_raw_0068.jpg,field,train
Tomato___Bacterial_spot/Tomato___Bacterial_spot_scale_0069.jpg,08ff2a438ea7388faa08b04515dc74625f549d30fba06f7fe2ede47478bcab7b,0000000001111110011111100111111001111110011111100111111000000000,Tomato,Bacterial Spot,PlantVillage/Zenodo,https://doi.org/10.5281/zenodo.5562723,CC BY-SA 4.0,Tomato___Bacterial_spot_raw_0069.jpg,field,train
Tomato___Bacterial_spot/Tomato___Bacterial_spot_scale_0070.jpg,18db08c9baeb2b73beea0b0edf420782813149146f41bd45dfaf3425c2ec7466,0000000001111110011111100111111001111110011111100111111000000000,Tomato,Bacterial Spot,PlantVillage/Zenodo,https://doi.org/10.5281/zenodo.5562723,CC BY-SA 4.0,Tomato___Bacterial_spot_raw_0070.jpg,field,train
Tomato___Bacterial_spot/Tomato___Bacterial_spot_scale_0071.jpg,5b3d11dd0b6354796a334464732d1c760a8aaab87535cc06b90a273a0be25d61,0000000001111110011111100111111001111110011111100111111000000000,Tomato,Bacterial Spot,PlantVillage/Zenodo,https://doi.org/10.5281/zenodo.5562723,CC BY-SA 4.0,Tomato___Bacterial_spot_raw_0071.jpg,field,train
