sha256,file,crop,condition,source_dataset,duplicate_group,action
efb13975a9c01929f8381834beb9444cfddab2e625f7611a87a2c1427192f230,D:\Development\Projects\project\dataset_6crop\Tomato___Early_blight\Tomato___Early_blight_img_024.jpg,Tomato,Tomato___Early_blight,PlantVillage/Zenodo,efb13975a9c0,CROSS_CLASS_CONFLICT
1569007ff72106b4bf45fcc0636f3ad613557f563d3c2084aa079677da1135db,D:\Development\Projects\project\dataset_6crop\Tomato___Early_blight\Tomato___Early_blight_scale_0056.jpg,Tomato,Tomato___Early_blight,PlantVillage/Zenodo,1569007ff721,CROSS_CLASS_CONFLICT
2289512ad8651a8c1e44df794b37b1d0b3008b1986c6f18946fd82829a5dfd2f,D:\Development\Projects\project\dataset_6crop\Tomato___Early_blight\Tomato___Early_blight_scale_0123.jpg,Tomato,Tomato___Early_blight,PlantVillage/Zenodo,2289512ad865,CROSS_CLASS_CONFLICT
cb26b4ace436034b36da9034e1dd70f96f1df366ba5f5834f21da0c5fc75554e,D:\Development\Projects\project\dataset_6crop\Tomato___Early_blight\Tomato___Early_blight_scale_0251.jpg,Tomato,Tomato___Early_blight,PlantVillage/Zenodo,cb26b4ace436,CROSS_CROP_CONFLICT
97402d29b148fea2d7ce4e0f6464a1491d99c72d527854fd9bddfde81b226b10,D:\Development\Projects\project\dataset_6crop\Tomato___Early_blight\Tomato___Early_blight_scale_0310.jpg,Tomato,Tomato___Early_blight,PlantVillage/Zenodo,97402d29b148,REMOVE_SAME_CLASS_DUP
3f8ea6a5b4e0c41826546a31cef5e90b8606fa42c173c07bca50308daa061df4,D:\Development\Projects\project\dataset_6crop\Tomato___Early_blight\Tomato___Early_blight_scale_0323.jpg,Tomato,Tomato___Early_blight,PlantVillage/Zenodo,3f8ea6a5b4e0,CROSS_CROP_CONFLICT
9d174fb009b9f72112abad251ccbca39bd638922a229120937432aa04c518b38,D:\Development\Projects\project\dataset_6crop\Tomato___Late_blight\Tomato___Late_blight_real_002.jpg,Tomato,Tomato___Late_blight,PlantVillage/Zenodo,9d174fb009b9,CROSS_CROP_CONFLICT
c8620793f8a857475822e41d17ae284bf15405fbf2353a3498ca4ee85cee1691,D:\Development\Projects\project\dataset_6crop\Tomato___Late_blight\Tomato___Late_blight_real_005.jpg,Tomato,Tomato___Late_blight,PlantVillage/Zenodo,c8620793f8a8,CROSS_CROP_CONFLICT
17eddc679ae60ad216fb178fc5f2d144bfe5c930db4e694e8f830b795a1d7db3,D:\Development\Projects\project\dataset_6crop\Tomato___Late_blight\Tomato___Late_blight_scale_0091.jpg,Tomato,Tomato___Late_blight,PlantVillage/Zenodo,17eddc679ae6,CROSS_CLASS_CONFLICT
d489b0818f987f064c7ba5f2f8c4139dd78503265ee8c5d74b39e756ef408f28,D:\Development\Projects\project\dataset_6crop\Tomato___Late_blight\Tomato___Late_blight_scale_0248.jpg,Tomato,Tomato___Late_blight,PlantVillage/Zenodo,d489b0818f98,CROSS_CLASS_CONFLICT
3d4824695440a9cb0e0b4d10302d69b36fda92256de7fae532aa8cc1b78fc1ee,D:\Development\Projects\project\dataset_6crop\Tomato___Late_blight\Tomato___Late_blight_scale_0279.jpg,Tomato,Tomato___Late_blight,PlantVillage/Zenodo,3d4824695440,CROSS_CLASS_CONFLICT
3c63b5ec72840dbf175c5b3f08b580ca5d8cb88b43021533a4ec0f89e632b6f3,D:\Development\Projects\project\dataset_6crop\Tomato___Late_blight\Tomato___Late_blight_scale_0315.jpg,Tomato,Tomato___Late_blight,PlantVillage/Zenodo,3c63b5ec7284,CROSS_CROP_CONFLICT
a6442eae92300ea5aa88661ecdf6d1967c7425e29b7a8798a2fe9ac23ad01b9b,D:\Development\Projects\project\dataset_6crop\Tomato___Leaf_Mold\Tomato___Leaf_Mold_scale_0095.jpg,Tomato,Tomato___Leaf_Mold,PlantVillage,a6442eae9230,CROSS_CLASS_CONFLICT
d89d2b7bd86c6a7010ee7232bdf3fc7e16114a239a1c80205f18bfe8ae89ca5d,D:\Development\Projects\project\dataset_6crop\Tomato___Leaf_Mold\Tomato___Leaf_Mold_scale_0205.jpg,Tomato,Tomato___Leaf_Mold,PlantVillage,d89d2b7bd86c,REMOVE_SAME_CLASS_DUP
58af8429a32837f02cc1ed623c09fb5f8d36efc15b88ac04a05643fe0d1469f3,D:\Development\Projects\project\dataset_6crop\Tomato___Septoria_leaf_spot\Tomato___Septoria_leaf_spot_scale_0022.jpg,Tomato,Tomato___Septoria_leaf_spot,PlantVillage/Zenodo,58af8429a328,CROSS_CLASS_CONFLICT
f130e8e060ed62a0a2abcaddac276f19578a4ffc592e2cb9f3ac56e1530cc085,D:\Development\Projects\project\dataset_6crop\Tomato___Septoria_leaf_spot\Tomato___Septoria_leaf_spot_scale_0029.jpg,Tomato,Tomato___Septoria_leaf_spot,PlantVillage/Zenodo,f130e8e060ed,CROSS_CLASS_CONFLICT
1820da5822276864c54512740eb1594d8893779ec9773a0c040b7b46300cf58e,D:\Development\Projects\project\dataset_6crop\Tomato___Septoria_leaf_spot\Tomato___Septoria_leaf_spot_scale_0068.jpg,Tomato,Tomato___Septoria_leaf_spot,PlantVillage/Zenodo,1820da582227,CROSS_CLASS_CONFLICT
9a4c1a03d8a1f19df091863553e5a4002ef626c8474621f397ab412eca679bb2,D:\Development\Projects\project\dataset_6crop\Tomato___Septoria_leaf_spot\Tomato___Septoria_leaf_spot_scale_0081.jpg,Tomato,Tomato___Septoria_leaf_spot,PlantVillage/Zenodo,9a4c1a03d8a1,CROSS_CLASS_CONFLICT
e0c930c5f05f8871b7ee3be9349540de2a77b2b50d8ea031e307ea179c0f9433,D:\Development\Projects\project\dataset_6crop\Tomato___Septoria_leaf_spot\Tomato___Septoria_leaf_spot_scale_0087.jpg,Tomato,Tomato___Septoria_leaf_spot,PlantVillage/Zenodo,e0c930c5f05f,CROSS_CLASS_CONFLICT
e430294957700b5e3a83a627ae06a5b62acb0df8d2b60e9c43bb1554939d818b,D:\Development\Projects\project\dataset_6crop\Tomato___Septoria_leaf_spot\Tomato___Septoria_leaf_spot_scale_0289.jpg,Tomato,Tomato___Septoria_leaf_spot,PlantVillage/Zenodo,e43029495770,CROSS_CLASS_CONFLICT
0eeada4c105377dd73eb369127c4f80504a1471d5d0e6e09fe978ed42f320075,D:\Development\Projects\project\dataset_6crop\Tomato___Spider_mites Two-spotted_spider_mite\Tomato___Spider_mites Two-spotted_spider_mite_scale_0156.jpg,Tomato,Tomato___Spider_mites Two-spotted_spider_mite,PlantVillage,0eeada4c1053,CROSS_CLASS_CONFLICT
f7999de112580de6ca09d8fc66aae7aa7efa8f19a807d455ada12756b80a7024,D:\Development\Projects\project\dataset_6crop\Tomato___Spider_mites Two-spotted_spider_mite\Tomato___Spider_mites Two-spotted_spider_mite_scale_0205.jpg,Tomato,Tomato___Spider_mites Two-spotted_spider_mite,PlantVillage,f7999de11258,REMOVE_SAME_CLASS_DUP
c6709b705ae97fe7896930db2423d3f0bb92aca789a64760c06bc87dd58524f8,D:\Development\Projects\project\dataset_6crop\Tomato___Spider_mites Two-spotted_spider_mite\Tomato___Spider_mites Two-spotted_spider_mite_scale_0230.jpg,Tomato,Tomato___Spider_mites Two-spotted_spider_mite,PlantVillage,c6709b705ae9,CROSS_CLASS_CONFLICT
d62435092b09872f342ed5f03883e4fe5e6f2f70f8fce58524100c4ea34d8790,D:\Development\Projects\project\dataset_6crop\Tomato___Spider_mites Two-spotted_spider_mite\Tomato___Spider_mites Two-spotted_spider_mite_scale_0278.jpg,Tomato,Tomato___Spider_mites Two-spotted_spider_mite,PlantVillage,d62435092b09,CROSS_CLASS_CONFLICT
24a2d460bff527c82aba9e058ec9a05d39d41d7d247be24ce1e9d68a5ad205d2,D:\Development\Projects\project\dataset_6crop\Tomato___Target_Spot\Tomato___Target_Spot_scale_0012.jpg,Tomato,Tomato___Target_Spot,PlantVillage,24a2d460bff5,CROSS_CLASS_CONFLICT
c07685234b4ef3324221936131a07e73323edbc3b71b6d2115e53b0dc55d155b,D:\Development\Projects\project\dataset_6crop\Tomato___Target_Spot\Tomato___Target_Spot_scale_0126.jpg,Tomato,Tomato___Target_Spot,PlantVillage,c07685234b4e,CROSS_CLASS_CONFLICT
0425ef662f49aee520c3986e97c6b8f8c6be840aeeeb78d0cf94a1f089b3a713,D:\Development\Projects\project\dataset_6crop\Tomato___Target_Spot\Tomato___Target_Spot_scale_0130.jpg,Tomato,Tomato___Target_Spot,PlantVillage,0425ef662f49,CROSS_CLASS_CONFLICT
bf9924c92c7d8c2a0dca2eec90793cdc3d4f48eeb5debe0e38dd8ad69c44a2b1,D:\Development\Projects\project\dataset_6crop\Tomato___Target_Spot\Tomato___Target_Spot_scale_0132.jpg,Tomato,Tomato___Target_Spot,PlantVillage,bf9924c92c7d,REMOVE_SAME_CLASS_DUP
979aff84af6db3a432510a7501c1505dc5c05ad43472defc0acc9f6c4151ed97,D:\Development\Projects\project\dataset_6crop\Tomato___Target_Spot\Tomato___Target_Spot_scale_0135.jpg,Tomato,Tomato___Target_Spot,PlantVillage,979aff84af6d,CROSS_CLASS_CONFLICT
fb1242da3d077dbf82bb77755d0753d121640a5b3d3302fbab4951af841be87f,D:\Development\Projects\project\dataset_6crop\Tomato___Target_Spot\Tomato___Target_Spot_scale_0223.jpg,Tomato,Tomato___Target_Spot,PlantVillage,fb1242da3d07,CROSS_CLASS_CONFLICT
80e35fe8d75463a56c8d55afb4a8a5adf8e6814132186ed69ae922351a5708a5,D:\Development\Projects\project\dataset_6crop\Tomato___Target_Spot\Tomato___Target_Spot_scale_0250.jpg,Tomato,Tomato___Target_Spot,PlantVillage,80e35fe8d754,CROSS_CLASS_CONFLICT
a690e45b758e393bd240de08b2edc828c955b72cb4a113143a5789bc9a01b3b8,D:\Development\Projects\project\dataset_6crop\Tomato___Target_Spot\Tomato___Target_Spot_scale_0263.jpg,Tomato,Tomato___Target_Spot,PlantVillage,a690e45b758e,REMOVE_SAME_CLASS_DUP
5619fab1fc24dd2b7dcfc56ee382f90b2dc47df3ea159634a2858b71568c0adc,D:\Development\Projects\project\dataset_6crop\Tomato___Target_Spot\Tomato___Target_Spot_scale_0268.jpg,Tomato,Tomato___Target_Spot,PlantVillage,5619fab1fc24,CROSS_CLASS_CONFLICT
80e35fe8d75463a56c8d55afb4a8a5adf8e6814132186ed69ae922351a5708a5,D:\Development\Projects\project\dataset_6crop\Tomato___Target_Spot\Tomato___Target_Spot_scale_0294.jpg,Tomato,Tomato___Target_Spot,PlantVillage,80e35fe8d754,CROSS_CLASS_CONFLICT
1c026765b6dd8b17b31059da19bf2c832c0556ec2cb8084f3adaeb2baf0269b1,D:\Development\Projects\project\dataset_6crop\Tomato___Target_Spot\Tomato___Target_Spot_scale_0325.jpg,Tomato,Tomato___Target_Spot,PlantVillage,1c026765b6dd,CROSS_CLASS_CONFLICT
3d426ec59d9e3de33b6435019af46282139abd06d749197bf4aefd020ddc355b,D:\Development\Projects\project\dataset_6crop\Tomato___Tomato_mosaic_virus\Tomato___Tomato_mosaic_virus_real_011.jpg,Tomato,Tomato___Tomato_mosaic_virus,PlantVillage,3d426ec59d9e,CROSS_CROP_CONFLICT
2c1e5aa32d17c3fda378fdd3c44221f5c7ad00c8288e37f3a4bd4a988fc038a2,D:\Development\Projects\project\dataset_6crop\Tomato___Tomato_mosaic_virus\Tomato___Tomato_mosaic_virus_real_033.jpg,Tomato,Tomato___Tomato_mosaic_virus,PlantVillage,2c1e5aa32d17,CROSS_CLASS_CONFLICT
12f1398d31e315db6ffd55da6c2976c532a35ac1182c30230b3f43dd5b54a793,D:\Development\Projects\project\dataset_6crop\Tomato___Tomato_mosaic_virus\Tomato___Tomato_mosaic_virus_scale_0002.jpg,Tomato,Tomato___Tomato_mosaic_virus,PlantVillage,12f1398d31e3,CROSS_CLASS_CONFLICT
2a32ed1f407def8e143257ed51e2d5093d43a7748778680e88fcaba66453bd6b,D:\Development\Projects\project\dataset_6crop\Tomato___Tomato_mosaic_virus\Tomato___Tomato_mosaic_virus_scale_0021.jpg,Tomato,Tomato___Tomato_mosaic_virus,PlantVillage,2a32ed1f407d,CROSS_CLASS_CONFLICT
f504c25b2da6eedf8c2fd34e213b7c4655f25db6bc00dd9886c447f481c5214e,D:\Development\Projects\project\dataset_6crop\Tomato___Tomato_mosaic_virus\Tomato___Tomato_mosaic_virus_scale_0028.jpg,Tomato,Tomato___Tomato_mosaic_virus,PlantVillage,f504c25b2da6,CROSS_CLASS_CONFLICT
e66bdf06fc90f3656766770d375784339fc60003b1e57b29bc3d95e0b14ae6b1,D:\Development\Projects\project\dataset_6crop\Tomato___Tomato_mosaic_virus\Tomato___Tomato_mosaic_virus_scale_0033.jpg,Tomato,Tomato___Tomato_mosaic_virus,PlantVillage,e66bdf06fc90,CROSS_CLASS_CONFLICT
235677e7fb013c3dc59e350e62cd13990bbff01a7dcba93eea77d4c3a98cb1c7,D:\Development\Projects\project\dataset_6crop\Tomato___Tomato_mosaic_virus\Tomato___Tomato_mosaic_virus_scale_0072.jpg,Tomato,Tomato___Tomato_mosaic_virus,PlantVillage,235677e7fb01,CROSS_CLASS_CONFLICT
8a0d7a5055e98cc5b4359062fbb11f695b8885dbbc72f87f5222cd98f95035cb,D:\Development\Projects\project\dataset_6crop\Tomato___Tomato_mosaic_virus\Tomato___Tomato_mosaic_virus_scale_0109.jpg,Tomato,Tomato___Tomato_mosaic_virus,PlantVillage,8a0d7a5055e9,CROSS_CLASS_CONFLICT
86acf73f126b5bcdafc31818796480d82105dcff16cbc0605e3bfc898238dbf9,D:\Development\Projects\project\dataset_6crop\Tomato___Tomato_mosaic_virus\Tomato___Tomato_mosaic_virus_scale_0113.jpg,Tomato,Tomato___Tomato_mosaic_virus,PlantVillage,86acf73f126b,CROSS_CLASS_CONFLICT
294a876265cab566f6dd69f66a70a57132aab117ffab444e1ac75f4b8b4efade,D:\Development\Projects\project\dataset_6crop\Tomato___Tomato_mosaic_virus\Tomato___Tomato_mosaic_virus_scale_0195.jpg,Tomato,Tomato___Tomato_mosaic_virus,PlantVillage,294a876265ca,CROSS_CLASS_CONFLICT
f739cbb8b95575a47bc3bbdcf806b5a85d255450d70628e91ae500f7dafa50eb,D:\Development\Projects\project\dataset_6crop\Tomato___Tomato_mosaic_virus\Tomato___Tomato_mosaic_virus_scale_0228.jpg,Tomato,Tomato___Tomato_mosaic_virus,PlantVillage,f739cbb8b955,CROSS_CLASS_CONFLICT
1f27194b5cdd0b03a6a35891f449b8c900215df27cc22f680a5edc89564124c4,D:\Development\Projects\project\dataset_6crop\Tomato___Tomato_mosaic_virus\Tomato___Tomato_mosaic_virus_scale_0237.jpg,Tomato,Tomato___Tomato_mosaic_virus,PlantVillage,1f27194b5cdd,CROSS_CLASS_CONFLICT
cf3551a92a51c7939e1d255836dd8a05e9e9a093d30925fe989f649b5dc4d1f6,D:\Development\Projects\project\dataset_6crop\Tomato___Tomato_mosaic_virus\Tomato___Tomato_mosaic_virus_scale_0327.jpg,Tomato,Tomato___Tomato_mosaic_virus,PlantVillage,cf3551a92a51,CROSS_CLASS_CONFLICT
66c7919dfcbc0e4d517f7e08f2e6f739329ebd3b9fbbd017a3790236e7022758,D:\Development\Projects\project\dataset_6crop\Tomato___Tomato_mosaic_virus\Tomato___Tomato_mosaic_virus_scale_0344.jpg,Tomato,Tomato___Tomato_mosaic_virus,PlantVillage,66c7919dfcbc,CROSS_CLASS_CONFLICT
c10166c23276334d095d5255b0f584dfec05695595c222e591bf97b2f597db85,D:\Development\Projects\project\dataset_6crop\Tomato___Tomato_Yellow_Leaf_Curl_Virus\Tomato___Tomato_Yellow_Leaf_Curl_Virus_real_019.jpg,Tomato,Tomato___Tomato_Yellow_Leaf_Curl_Virus,PlantVillage,c10166c23276,CROSS_CROP_CONFLICT
0d940728d3b4d8df8a417857d68f2fdc4f908f4b4b8f1c3b46ee073adf3673e6,D:\Development\Projects\project\dataset_6crop\Tomato___Tomato_Yellow_Leaf_Curl_Virus\Tomato___Tomato_Yellow_Leaf_Curl_Virus_real_050.jpg,Tomato,Tomato___Tomato_Yellow_Leaf_Curl_Virus,PlantVillage,0d940728d3b4,CROSS_CROP_CONFLICT
a60a4d7718a3fddfa69e577d67061cfd2ef4c6fe48b53ef2add88b50485e0233,D:\Development\Projects\project\dataset_6crop\Tomato___Tomato_Yellow_Leaf_Curl_Virus\Tomato___Tomato_Yellow_Leaf_Curl_Virus_scale_0032.jpg,Tomato,Tomato___Tomato_Yellow_Leaf_Curl_Virus,PlantVillage,a60a4d7718a3,CROSS_CLASS_CONFLICT
b7d25b4c1d6bf2257368b9376c31d23d683062ca73d8e19f6a50ff02da742665,D:\Development\Projects\project\dataset_6crop\Tomato___Tomato_Yellow_Leaf_Curl_Virus\Tomato___Tomato_Yellow_Leaf_Curl_Virus_scale_0054.jpg,Tomato,Tomato___Tomato_Yellow_Leaf_Curl_Virus,PlantVillage,b7d25b4c1d6b,CROSS_CROP_CONFLICT
d67ec64656605185928b2951c26d26dcf342778c78233c9edb09c9e502305d29,D:\Development\Projects\project\dataset_6crop\Tomato___Tomato_Yellow_Leaf_Curl_Virus\Tomato___Tomato_Yellow_Leaf_Curl_Virus_scale_0171.jpg,Tomato,Tomato___Tomato_Yellow_Leaf_Curl_Virus,PlantVillage,d67ec6465660,CROSS_CLASS_CONFLICT
e76ad58688c06afe6d589d9ece04e0c337017229f92c3ee24a3665dcfa349917,D:\Development\Projects\project\dataset_6crop\Tomato___Tomato_Yellow_Leaf_Curl_Virus\Tomato___Tomato_Yellow_Leaf_Curl_Virus_scale_0220.jpg,Tomato,Tomato___Tomato_Yellow_Leaf_Curl_Virus,PlantVillage,e76ad58688c0,CROSS_CLASS_CONFLICT
136acb5499917c45487810d67cba379a86536b3b910a12c5c32c4c9c0fba1e3c,D:\Development\Projects\project\dataset_6crop\Tomato___Tomato_Yellow_Leaf_Curl_Virus\Tomato___Tomato_Yellow_Leaf_Curl_Virus_scale_0250.jpg,Tomato,Tomato___Tomato_Yellow_Leaf_Curl_Virus,PlantVillage,136acb549991,CROSS_CLASS_CONFLICT
5c695669f7aa6aa8af335ff5fe673baf836a7f000ae9fa9b433a5a0221461c35,D:\Development\Projects\project\dataset_6crop\Wheat___Powdery_Mildew\Wheat___Powdery_Mildew_real_053.jpg,Wheat,Wheat___Powdery_Mildew,Mendeley Wheat Pathology,5c695669f7aa,CROSS_CROP_CONFLICT
6f817bc7734d5f4a98afef5cfe262270c55578b9a374efd4306a5dcd0f2a6e8e,D:\Development\Projects\project\dataset_6crop\Wheat___Stripe_Rust\Wheat___Stripe_Rust_real_012.jpg,Wheat,Wheat___Stripe_Rust,ICAR-IIWBR / Zenodo,6f817bc7734d,CROSS_CROP_CONFLICT
